species,functional_group
Achillea millefolium,forb
Ageratina occidentalis,forb
Agoseris elata,forb
Agoseris glauca,forb
Agoseris monticola,forb
Agropyron trachycaulum,graminoid
Androsace septentrionalis,forb
Anelsonia eurycarpa,cushion
Antennaria corymbosa,forb
Antennaria media,forb
Antennaria microphylla,forb
Antennaria rosea,forb
Antennaria sp.,forb
Aphyllon fasciculatum,forb
Aquilegia coerulea,forb
Argemone munita,forb
Artemisia dracunculus,shrub
Artemisia nova,shrub
Artemisia rothrockii,shrub
Artemisia tridentata,shrub
Astragalus calycosus,forb
Astragalus gilmanii,forb
Astragalus kentrophyta,cushion
Astragalus lentiginosus,forb
Astragalus platytropis,forb
Astragalus purshii,forb
Astragalus whitneyi,forb
Bistorta bistortoides,forb
Boechera lemmonii,forb
Boechera sp.,forb
Boechera stricta,forb
Calamagrostis purpurascens,graminoid
Calochortus panamintensis,forb
Calyptridium parryi,forb
Calyptridium roseum,forb
Calyptridium umbellatum,forb
Carex breweri,graminoid
Carex douglasii,graminoid
Carex duriuscula,graminoid
Carex elynoides,graminoid
Carex filifolia,graminoid
Carex haydeniana,graminoid
Carex helleri,graminoid
Carex heteroneura,graminoid
Carex leporinella,graminoid
Carex microptera,graminoid
Carex multicostata,graminoid
Carex pelocarpa,graminoid
Carex phaeocephala,graminoid
Carex preslii,graminoid
Carex rossii,graminoid
Carex sp.,graminoid
Castilleja applegatei,forb
Castilleja nana,forb
Castilleja nana/pilosa,forb
Castilleja pilosa,forb
Castilleja sp.,forb
Cerastium beeringianum,forb
Chaenactis douglasii,forb
Chamaebatiaria millefolium,shrub
Chenopodium capitatum,forb
Chenopodium fremontii,forb
Chenopodium leptophyllum,forb
Chenopodium pratericola,forb
Chrysothamnus viscidiflorus,shrub
Cirsium andersonii,forb
Cryptogramma acrostichoides,forb
Cymopterus cinerarius,forb
Cymopterus nivalis,forb
Cymopterus terebinthinus,forb
Cystopteris fragilis,forb
Descurainia californica,forb
Diplacus bigelovii,forb
Diplacus leptaleus,forb
Diplacus mephiticus,forb
Draba albertina,forb
Draba asterophora,forb
Draba aurea,forb
Draba breweri,forb
Draba cana,forb
Draba densifolia,forb
Draba incrassata,forb
Draba lemmonii,forb
Draba longisquamosa,forb
Draba oligosperma,cushion
Draba serpentina,forb
Draba sp.,forb
Drymocallis pseudoruprestris,forb
Elymus elymoides,graminoid
Elymus scribneri,graminoid
Ephedra viridis,shrub
Epilobium obcordatum,forb
Eremogone congesta,forb
Eremogone kingii,cushion
Ericameria discoidea,shrub
Ericameria gilmanii,shrub
Ericameria parryi,shrub
Ericameria suffruticosa,shrub
Erigeron algidus,forb
Erigeron clokeyi,forb
Erigeron compositus,forb
Erigeron grandiflorus,forb
Erigeron leiomerus,forb
Erigeron pygmaeus,forb
Erigeron sp.,forb
Erigeron tener,forb
Erigeron vagus,forb
Eriogonum eremicola,forb
Eriogonum gracilipes,cushion
Eriogonum holmgrenii,cushion
Eriogonum incanum,cushion
Eriogonum lobbii,cushion
Eriogonum mensicola,forb
Eriogonum microthecum,forb
Eriogonum nudum,forb
Eriogonum ovalifolium,cushion
Eriogonum polypodum,cushion
Eriogonum rosense,cushion
Eriogonum sp.,forb
Eriogonum umbellatum,forb
Eriophyllum lanatum,forb
Erysimum perenne,forb
Erythranthe suksdorfii,forb
Festuca brachyphylla,graminoid
Festuca kingii,graminoid
Festuca saximontana,graminoid
Festuca sp.,graminoid
Galium hilendiae,forb
Gayophytum decipiens,forb
Gayophytum diffusum,forb
Gayophytum humile,forb
Gayophytum sp.,forb
Geum rossii,forb
Gutierrezia sarothrae,shrub
Hackelia sharsmithii,forb
Heuchera parvifolia,forb
Heuchera rubescens,forb
Hieracium horridum,forb
Holodiscus microphyllus,shrub
Hulsea algida,forb
Hymenoxys cooperi,forb
Ipomopsis congesta,forb
Ivesia lycopodioides,cushion
Ivesia pygmaea,cushion
Ivesia shockleyi,forb
Jamesia americana,shrub
Juncus balticus,graminoid
Juncus mexicanus,graminoid
Juncus parryi,graminoid
Juniperus communis,tree
Keckiella rothrockii,shrub
Koeleria macrantha,graminoid
Lewisia glandulosa,forb
Lewisia pygmaea,forb
Linanthus pungens,shrub
Linum lewisii,forb
Lupinus argenteus,forb
Lupinus breweri,forb
Lupinus lepidus,forb
Luzula sp.,graminoid
Luzula spicata,graminoid
Mentzelia albicaulis,forb
Mertensia franciscana,forb
Minuartia nuttallii,forb
Minuartia obtusiloba,cushion
Minuartia rubella,cushion
Monardella odoratissima,forb
Muhlenbergia filiformis,graminoid
Muhlenbergia richardsonis,graminoid
Oenothera cespitosa,forb
Opuntia polyacantha,forb
Oreocarya hoffmannii,forb
Oreocarya humilis,forb
Oreocarya nubigena,forb
Oreocarya sp.,forb
Oreonana clementis,forb
Oxyria digyna,forb
Oxytropis parryi,forb
Packera cana,forb
Packera werneriifolia,forb
Pedicularis semibarbata,forb
Pellaea breweri,forb
Penstemon davidsonii,forb
Penstemon heterodoxus,forb
Penstemon humilis,forb
Penstemon leiophyllus,forb
Penstemon newberryi,forb
Penstemon rostriflorus,shrub
Penstemon speciosus,forb
Phacelia crenulata,forb
Phacelia curvipes,forb
Phacelia hastata,forb
Phacelia sp.,forb
Phlox condensata,cushion
Phlox diffusa,cushion
Phlox dispersa,cushion
Phlox pulvinata,cushion
Phlox sp.,cushion
Phlox stansburyi,forb
Phoenicaulis cheiranthoides,forb
Phyllodoce breweri,shrub
Physaria kingii,forb
Picea engelmannii,tree
Pinus albicaulis,tree
Pinus balfouriana,tree
Pinus contorta,tree
Pinus flexilis,tree
Pinus jeffreyi,tree
Pinus longaeva,tree
Pinus monophylla,tree
Pleiacanthus spinosus,forb
Poa cusickii,graminoid
Poa fendleriana,graminoid
Poa glauca,graminoid
Poa keckii,graminoid
Poa secunda,graminoid
Poa sp.,graminoid
Podistera nevadensis,cushion
Polemonium chartaceum,forb
Polemonium eximium,forb
Polemonium pulcherrimum,forb
Polemonium viscosum,forb
Polygonum minimum,forb
Potentilla bruceae,forb
Potentilla concinna,forb
Potentilla glaucophylla,forb
Potentilla holmgrenii,cushion
Potentilla hookeriana,forb
Potentilla jepsonii,forb
Potentilla morefieldii,forb
Potentilla ovina,forb
Potentilla pensylvanica,forb
Potentilla pseudosericea,forb
Potentilla sp.,forb
Primula parryi,forb
Primula suffrutescens,shrub
Pseudostellaria jamesiana,forb
Purshia tridentata,shrub
Pyrrocoma apargioides,forb
Raillardella argentea,forb
Ranunculus adoneus,forb
Ranunculus eschscholtzii,forb
Rhodiola integrifolia,forb
Ribes cereum,shrub
Ribes montigenum,shrub
Rubus idaeus,shrub
Rumex paucifolius,forb
Sagina saginoides,forb
Salvia pachyphylla,shrub
Scrophularia desertorum,forb
Sedum lanceolatum,forb
Selaginella watsonii,cushion
Senecio fremontii,forb
Senecio spartioides,shrub
Sibbaldia procumbens,forb
Silene acaulis,cushion
Silene cf. verucunda,forb
Silene sargentii,forb
Solidago multiradiata,forb
Sphaeromeria cana,forb
Sporobolus cryptandrus,forb
Stenotus acaulis,cushion
Stipa exigua,graminoid
Stipa hymenoides,graminoid
Stipa lettermanii,graminoid
Stipa occidentalis,graminoid
Stipa pinetorum,graminoid
Stipa sp.,graminoid
Taraxacum officinale,forb
Tetradymia canescens,shrub
Tonestus eximius,shrub
Townsendia condensata,forb
Townsendia leptotes,forb
Trifolium andersonii,cushion
Trifolium gymnocarpon,cushion
Trisetum spicatum,graminoid
Woodsia scopulina,forb
